,u,i,ts,label,idx
129,56,7,7,0,130
130,7,56,7,0,131
131,7,15,7,0,132
132,24,18,7,0,133
133,18,24,7,0,134
134,18,16,7,0,135
135,44,57,7,0,136
136,1,58,7,0,137
137,58,1,7,0,138
138,43,31,7,0,139
139,31,43,7,0,140
140,58,43,8,0,141
141,43,58,8,0,142
142,42,4,8,0,143
143,18,50,8,0,144
144,50,18,8,0,145
145,46,49,8,0,146
146,27,59,8,0,147
147,59,27,8,0,148
148,31,4,8,0,149
149,4,31,8,0,150
150,1,49,8,0,151
151,49,1,8,0,152
152,50,21,8,0,153
153,21,50,8,0,154
154,46,60,8,0,155
155,14,61,8,0,156
156,61,14,8,0,157
157,50,45,8,0,158
158,45,50,8,0,159
159,31,62,8,0,160
160,31,76,8,0,161
161,62,31,8,0,162
162,31,63,8,0,163
163,63,31,8,0,164
164,76,31,8,0,165
165,4,64,8,0,166
166,64,4,8,0,167
167,61,50,8,0,168
168,50,61,8,0,169
169,31,66,9,0,170
170,66,31,9,0,171
171,43,64,9,0,172
172,64,43,9,0,173
173,7,66,9,0,174
174,66,7,9,0,175
175,46,68,9,0,176
176,31,51,9,0,177
177,68,46,9,0,178
178,51,69,9,0,179
179,69,51,9,0,180
180,51,31,9,0,181
181,51,27,9,0,182
182,30,14,9,0,183
183,14,30,9,0,184
184,51,70,9,0,185
185,70,51,9,0,186
186,12,71,9,0,187
187,71,12,9,0,188
188,50,72,9,0,189
189,72,50,9,0,190
190,65,7,9,0,191
191,1,61,9,0,192
192,51,12,9,0,193
193,12,51,9,0,194
194,61,1,10,0,195
195,1,74,10,0,196
196,45,39,10,0,197
197,39,45,10,0,198
198,74,1,10,0,199
199,73,74,10,0,200
200,74,75,10,0,201
201,60,19,10,0,202
202,73,43,10,0,203
203,30,4,10,0,204
204,4,30,10,0,205
205,31,77,10,0,206
206,53,4,10,0,207
207,70,78,10,0,208
208,78,70,10,0,209
209,61,79,10,0,210
210,79,61,10,0,211
211,43,80,11,0,212
212,80,43,11,0,213
213,71,49,11,0,214
214,49,71,11,0,215
215,70,79,11,0,216
216,7,81,11,0,217
217,81,7,11,0,218
218,31,82,11,0,219
219,31,49,11,0,220
220,49,31,11,0,221
221,79,70,11,0,222
222,18,7,11,0,223
223,7,83,11,0,224
224,83,7,11,0,225
225,46,84,11,0,226
226,84,46,11,0,227
227,84,57,11,0,228
228,84,87,11,0,229
229,84,43,11,0,230
230,43,84,11,0,231
231,81,30,11,0,232
232,30,81,11,0,233
233,6,86,12,0,234
234,86,30,12,0,235
235,6,24,12,0,236
236,30,86,12,0,237
237,35,7,12,0,238
238,1,89,12,0,239
239,89,1,12,0,240
240,73,1,12,0,241
241,73,7,12,0,242
242,7,73,12,0,243
243,7,35,12,0,244
244,7,91,12,0,245
245,91,7,12,0,246
246,18,80,12,0,247
247,80,18,12,0,248
248,80,76,12,0,249
249,76,80,12,0,250
250,43,41,12,0,251
251,87,57,12,0,252
252,89,93,12,0,253
253,89,19,12,0,254
254,1,2,12,0,255
255,1,56,12,0,256
256,56,1,12,0,257
257,1,18,12,0,258
258,39,94,12,0,259
259,88,7,12,0,260
260,7,88,12,0,261
261,39,11,12,0,262
262,11,39,12,0,263
263,57,30,12,0,264
264,57,12,12,0,265
265,57,6,12,0,266
266,57,1,12,0,267
267,57,18,12,0,268
268,57,21,12,0,269
269,57,87,12,0,270
270,57,84,12,0,271
271,57,95,12,0,272
272,57,44,12,0,273
273,94,39,12,0,274
274,39,2,12,0,275
275,2,39,12,0,276
276,93,89,12,0,277
277,93,96,12,0,278
278,96,93,12,0,279
279,7,97,12,0,280
280,97,7,12,0,281
281,77,31,12,0,282
282,31,46,13,0,283
283,46,31,13,0,284
284,42,82,13,0,285
285,85,92,13,0,286
286,92,85,13,0,287
287,39,7,13,0,288
288,7,39,13,0,289
289,85,18,13,0,290
290,85,99,13,0,291
291,99,85,13,0,292
292,58,28,13,0,293
293,28,58,13,0,294
294,2,96,13,0,295
295,96,2,13,0,296
296,70,12,13,0,297
297,82,42,13,0,298
298,82,31,13,0,299
299,96,21,13,0,300
300,21,96,13,0,301
301,83,1,13,0,302
302,96,98,13,0,303
303,98,96,13,0,304
304,96,73,13,0,305
305,73,96,13,0,306
306,31,100,13,0,307
307,12,70,13,0,308
308,100,31,13,0,309
309,7,100,13,0,310
310,100,7,13,0,311
311,1,101,13,0,312
312,101,1,13,0,313
313,96,101,13,0,314
314,101,96,13,0,315
315,73,83,13,0,316
316,83,73,13,0,317
317,73,46,13,0,318
318,46,73,13,0,319
319,31,103,14,0,320
320,103,31,14,0,321
321,7,43,14,0,322
322,43,73,14,0,323
323,7,104,14,0,324
324,104,98,14,0,325
325,98,104,14,0,326
326,104,7,14,0,327
327,96,17,14,0,328
328,102,96,14,0,329
329,96,102,14,0,330
330,58,96,14,0,331
331,2,3,14,0,332
332,96,105,14,0,333
333,105,96,14,0,334
334,82,105,14,0,335
335,1,82,14,0,336
336,82,1,14,0,337
337,105,82,14,0,338
338,82,56,14,0,339
339,2,105,14,0,340
340,105,2,14,0,341
341,82,106,14,0,342
342,106,82,14,0,343
343,55,96,14,0,344
344,82,98,14,0,345
345,98,82,14,0,346
346,96,107,14,0,347
347,107,96,14,0,348
348,1,108,14,0,349
349,108,1,14,0,350
350,109,2,14,0,351
351,43,110,14,0,352
352,31,111,14,0,353
353,111,31,14,0,354
354,18,85,14,0,355
355,17,96,14,0,356
356,67,61,14,0,357
357,58,112,14,0,358
358,112,113,14,0,359
359,113,112,14,0,360
360,96,55,14,0,361
361,2,82,14,0,362
362,82,2,14,0,363
363,82,107,14,0,364
364,107,82,14,0,365
365,31,110,14,0,366
366,110,31,14,0,367
367,96,114,14,0,368
368,76,115,14,0,369
369,61,67,14,0,370
370,114,116,14,0,371
371,116,114,14,0,372
372,114,55,14,0,373
373,82,117,14,0,374
374,96,118,14,0,375
375,118,96,14,0,376
376,96,85,14,0,377
377,85,96,14,0,378
378,117,82,14,0,379
379,31,119,14,0,380
380,119,31,14,0,381
381,112,96,14,0,382
382,96,112,14,0,383
383,85,120,14,0,384
384,120,85,14,0,385
385,41,7,14,0,386
386,7,41,14,0,387
387,31,96,14,0,388
388,115,76,14,0,389
389,96,31,14,0,390
390,86,1,15,0,391
391,1,86,15,0,392
392,1,83,15,0,393
393,43,122,15,0,394
394,122,43,15,0,395
395,86,112,15,0,396
396,112,86,15,0,397
397,86,109,15,0,398
398,58,109,15,0,399
399,109,58,15,0,400
400,91,58,15,0,401
401,96,58,15,0,402
402,109,86,15,0,403
403,86,17,15,0,404
404,7,123,15,0,405
405,123,7,15,0,406
406,17,86,15,0,407
407,96,76,15,0,408
408,76,96,15,0,409
409,96,119,15,0,410
410,119,96,15,0,411
411,1,7,15,0,412
412,7,1,15,0,413
413,96,124,15,0,414
414,124,96,15,0,415
415,31,125,15,0,416
416,125,31,15,0,417
417,31,124,15,0,418
418,124,31,15,0,419
419,2,112,15,0,420
420,112,2,15,0,421
421,55,31,15,0,422
422,106,61,15,0,423
423,106,60,15,0,424
424,60,106,15,0,425
425,1,127,15,0,426
426,127,1,15,0,427
427,114,128,15,0,428
428,128,114,15,0,429
429,2,128,15,0,430
430,128,2,15,0,431
431,82,76,15,0,432
432,31,129,15,0,433
433,129,31,15,0,434
434,31,130,15,0,435
435,130,31,15,0,436
436,96,131,15,0,437
437,131,96,15,0,438
438,61,112,15,0,439
439,105,132,15,0,440
440,132,105,15,0,441
441,33,133,15,0,442
442,133,33,15,0,443
443,46,128,15,0,444
444,128,46,15,0,445
445,85,128,15,0,446
446,128,85,15,0,447
447,43,76,15,0,448
448,43,134,15,0,449
449,46,3,16,0,450
450,85,135,16,0,451
451,135,85,16,0,452
452,31,136,16,0,453
453,134,43,16,0,454
454,128,118,16,0,455
455,118,128,16,0,456
456,137,7,16,0,457
457,33,138,16,0,458
458,123,107,16,0,459
459,107,123,16,0,460
460,7,128,16,0,461
461,123,139,16,0,462
462,139,123,16,0,463
463,112,94,16,0,464
464,94,112,16,0,465
465,107,140,16,0,466
466,140,107,16,0,467
467,55,1,16,0,468
468,55,141,16,0,469
469,141,55,16,0,470
470,55,45,16,0,471
471,45,55,16,0,472
472,106,135,16,0,473
473,112,135,16,0,474
474,135,112,16,0,475
475,135,106,16,0,476
476,128,142,16,0,477
477,142,128,16,0,478
478,136,31,16,0,479
479,112,61,16,0,480
480,107,106,16,0,481
481,106,107,16,0,482
482,43,111,16,0,483
483,111,43,16,0,484
484,2,118,16,0,485
485,118,2,16,0,486
486,1,15,16,0,487
487,96,143,16,0,488
488,143,96,16,0,489
489,99,143,16,0,490
490,143,99,16,0,491
491,96,121,16,0,492
492,121,96,16,0,493
493,99,106,16,0,494
494,106,99,16,0,495
495,111,144,16,0,496
496,144,111,16,0,497
497,107,143,16,0,498
498,143,107,16,0,499
499,143,145,16,0,500
500,145,143,16,0,501
501,106,145,16,0,502
502,145,106,16,0,503
503,105,46,16,0,504
504,46,105,16,0,505
505,146,7,16,0,506
506,7,146,16,0,507
507,60,7,16,0,508
508,7,58,16,0,509
509,58,7,16,0,510
510,110,141,16,0,511
511,141,110,16,0,512
512,7,147,16,0,513
513,147,7,16,0,514
514,138,33,16,0,515
515,145,148,16,0,516
516,148,145,16,0,517
517,99,149,16,0,518
518,149,99,16,0,519
519,25,7,16,0,520
520,7,25,16,0,521
521,58,107,17,0,522
522,7,150,17,0,523
523,150,7,17,0,524
524,76,151,17,0,525
525,151,76,17,0,526
526,76,152,17,0,527
527,152,76,17,0,528
528,76,82,17,0,529
529,76,153,17,0,530
530,153,76,17,0,531
531,76,85,17,0,532
532,85,76,17,0,533
533,6,135,17,0,534
534,82,7,17,0,535
535,76,133,17,0,536
536,133,76,17,0,537
537,106,154,17,0,538
538,154,106,17,0,539
539,43,121,17,0,540
540,121,43,17,0,541
541,2,1,17,0,542
542,42,19,17,0,543
543,43,140,17,0,544
544,7,27,17,0,545
545,43,155,17,0,546
546,155,43,17,0,547
547,43,156,17,0,548
548,156,140,17,0,549
549,156,43,17,0,550
550,140,156,17,0,551
551,7,157,17,0,552
552,157,7,17,0,553
553,22,43,17,0,554
554,45,158,17,0,555
555,158,45,17,0,556
556,43,22,17,0,557
557,43,153,17,0,558
558,7,118,18,0,559
559,118,7,18,0,560
560,43,160,18,0,561
561,43,161,18,0,562
562,161,43,18,0,563
563,7,162,18,0,564
564,162,7,18,0,565
565,96,160,18,0,566
566,160,96,18,0,567
567,27,7,18,0,568
568,156,163,18,0,569
569,163,156,18,0,570
570,73,164,18,0,571
571,164,73,18,0,572
572,105,165,18,0,573
573,165,105,18,0,574
574,7,166,18,0,575
575,105,43,18,0,576
576,7,82,18,0,577
577,43,167,18,0,578
578,168,163,18,0,579
579,163,168,18,0,580
580,169,7,18,0,581
581,162,45,18,0,582
582,43,55,18,0,583
583,55,43,18,0,584
584,55,7,18,0,585
585,43,171,18,0,586
586,7,172,18,0,587
587,172,7,18,0,588
588,105,106,18,0,589
589,106,105,18,0,590
590,43,105,18,0,591
591,7,168,19,0,592
592,112,171,19,0,593
593,90,7,19,0,594
594,7,169,19,0,595
595,7,70,19,0,596
596,76,141,19,0,597
597,162,141,19,0,598
598,112,141,19,0,599
599,70,7,19,0,600
600,41,43,19,0,601
601,164,173,19,0,602
602,162,11,19,0,603
603,11,162,19,0,604
604,173,164,19,0,605
605,76,112,19,0,606
606,112,76,19,0,607
607,76,43,19,0,608
608,112,45,19,0,609
609,129,173,19,0,610
610,168,7,19,0,611
611,164,174,19,0,612
612,174,164,19,0,613
613,174,171,19,0,614
614,43,174,19,0,615
615,174,43,19,0,616
616,74,98,19,0,617
617,43,175,19,0,618
618,175,43,19,0,619
619,98,74,19,0,620
620,174,7,19,0,621
621,174,96,19,0,622
622,174,22,19,0,623
623,106,115,19,0,624
624,115,106,19,0,625
625,27,82,19,0,626
626,99,176,19,0,627
627,106,177,19,0,628
628,177,106,19,0,629
629,22,174,19,0,630
630,7,174,19,0,631
631,99,114,19,0,632
632,7,141,19,0,633
633,30,112,19,0,634
634,112,30,19,0,635
635,176,178,20,0,636
636,178,176,20,0,637
637,136,84,20,0,638
638,115,164,20,0,639
639,22,90,20,0,640
640,43,179,20,0,641
641,43,180,20,0,642
642,180,43,20,0,643
643,171,174,20,0,644
644,179,43,20,0,645
645,179,3,20,0,646
646,99,141,20,0,647
647,138,181,20,0,648
648,181,138,20,0,649
649,181,82,20,0,650
650,138,182,20,0,651
651,1,185,20,0,652
652,43,1,20,0,653
653,43,7,20,0,654
654,30,2,20,0,655
655,164,138,20,0,656
656,138,164,20,0,657
657,43,186,20,0,658
658,1,187,20,0,659
659,187,1,20,0,660
660,187,171,20,0,661
661,22,1,20,0,662
662,22,181,20,0,663
663,181,22,20,0,664
664,1,96,20,0,665
665,1,188,20,0,666
666,188,1,20,0,667
667,43,189,20,0,668
668,187,33,20,0,669
669,43,176,20,0,670
670,161,147,20,0,671
671,147,161,20,0,672
672,43,191,20,0,673
673,43,192,20,0,674
674,192,43,20,0,675
675,7,193,20,0,676
676,1,76,20,0,677
677,76,1,20,0,678
678,25,1,20,0,679
679,45,112,20,0,680
680,22,133,20,0,681
681,168,194,20,0,682
682,194,168,20,0,683
683,193,7,20,0,684
684,43,170,21,0,685
685,170,43,21,0,686
686,168,195,21,0,687
687,195,168,21,0,688
688,196,7,21,0,689
689,184,7,21,0,690
690,76,164,21,0,691
691,164,76,21,0,692
692,164,197,21,0,693
693,197,164,21,0,694
694,164,198,21,0,695
695,198,164,21,0,696
696,112,199,21,0,697
697,199,112,21,0,698
698,30,200,21,0,699
699,200,46,21,0,700
700,200,30,21,0,701
701,164,99,21,0,702
702,99,164,21,0,703
703,2,7,21,0,704
704,2,43,21,0,705
705,2,45,21,0,706
706,2,57,21,0,707
707,7,2,21,0,708
708,7,30,21,0,709
709,7,31,21,0,710
710,7,17,21,0,711
711,7,53,21,0,712
712,7,45,21,0,713
713,170,45,21,0,714
714,168,201,21,0,715
715,201,168,21,0,716
716,45,170,21,0,717
717,192,202,21,0,718
718,30,106,21,0,719
719,106,30,21,0,720
720,202,192,21,0,721
721,43,203,21,0,722
722,203,43,21,0,723
723,99,2,21,0,724
724,166,7,21,0,725
725,1,46,21,0,726
726,46,1,21,0,727
727,164,205,21,0,728
728,205,43,21,0,729
729,164,41,21,0,730
730,41,164,21,0,731
731,126,43,21,0,732
732,43,126,21,0,733
733,166,60,21,0,734
734,41,86,21,0,735
735,112,60,21,0,736
736,1,206,21,0,737
737,202,60,21,0,738
738,27,207,21,0,739
739,207,27,21,0,740
740,1,208,21,0,741
741,208,1,21,0,742
742,60,202,21,0,743
743,60,46,21,0,744
744,60,166,21,0,745
745,60,112,21,0,746
746,60,61,21,0,747
747,189,43,21,0,748
748,53,17,21,0,749
749,27,209,21,0,750
750,209,27,21,0,751
751,205,206,21,0,752
752,206,205,21,0,753
753,206,211,21,0,754
754,211,206,21,0,755
755,43,212,21,0,756
756,43,211,21,0,757
757,211,43,21,0,758
758,7,137,21,0,759
759,128,168,21,0,760
760,168,128,21,0,761
761,43,205,21,0,762
762,128,120,21,0,763
763,177,210,21,0,764
764,210,177,21,0,765
765,43,204,21,0,766
766,204,43,21,0,767
767,43,213,21,0,768
768,213,43,21,0,769
769,214,69,21,0,770
770,106,7,21,0,771
771,7,106,21,0,772
772,1,195,21,0,773
773,195,1,21,0,774
774,212,206,21,0,775
775,206,212,21,0,776
776,43,65,21,0,777
777,65,43,21,0,778
778,65,76,21,0,779
779,76,65,21,0,780
780,43,216,22,0,781
781,216,43,22,0,782
782,22,212,22,0,783
783,128,7,22,0,784
784,212,22,22,0,785
785,212,43,22,0,786
786,212,1,22,0,787
787,212,164,22,0,788
788,1,212,22,0,789
789,126,125,22,0,790
790,168,217,22,0,791
791,217,168,22,0,792
792,43,218,22,0,793
793,6,219,22,0,794
794,219,6,22,0,795
795,46,181,22,0,796
796,219,220,22,0,797
797,220,219,22,0,798
798,1,221,22,0,799
799,7,221,22,0,800
800,1,222,22,0,801
801,222,1,22,0,802
802,164,120,22,0,803
803,217,115,22,0,804
804,164,201,22,0,805
805,201,164,22,0,806
806,205,85,22,0,807
807,205,86,22,0,808
808,169,223,22,0,809
809,223,169,22,0,810
810,18,224,22,0,811
811,43,225,22,0,812
812,43,226,22,0,813
813,226,43,22,0,814
814,112,227,22,0,815
815,227,112,22,0,816
816,27,228,22,0,817
817,228,27,22,0,818
818,164,104,22,0,819
819,104,164,22,0,820
820,6,229,22,0,821
821,227,43,22,0,822
822,190,177,22,0,823
823,177,190,22,0,824
824,104,31,22,0,825
825,203,104,22,0,826
826,104,203,22,0,827
827,177,183,22,0,828
828,229,6,22,0,829
829,183,177,22,0,830
830,183,230,22,0,831
831,230,183,22,0,832
832,230,3,22,0,833
833,31,104,22,0,834
834,43,230,22,0,835
835,115,7,22,0,836
836,210,129,22,0,837
837,183,133,22,0,838
838,1,81,22,0,839
839,164,191,22,0,840
840,133,183,22,0,841
841,133,196,22,0,842
842,196,133,22,0,843
843,46,7,22,0,844
844,139,1,22,0,845
845,43,57,22,0,846
846,112,19,22,0,847
847,1,232,22,0,848
848,232,1,22,0,849
849,183,233,22,0,850
850,233,183,22,0,851
851,164,115,22,0,852
852,43,222,22,0,853
853,222,43,22,0,854
854,43,234,22,0,855
855,18,192,22,0,856
856,7,204,22,0,857
857,191,164,22,0,858
858,107,58,22,0,859
859,107,115,22,0,860
860,230,7,22,0,861
861,7,230,22,0,862
862,1,235,22,0,863
863,235,1,22,0,864
864,104,1,22,0,865
865,1,104,22,0,866
866,104,234,22,0,867
867,104,236,22,0,868
868,43,237,22,0,869
869,237,43,22,0,870
870,104,217,22,0,871
871,231,238,22,0,872
872,217,104,22,0,873
873,238,231,22,0,874
874,164,93,22,0,875
875,129,210,23,0,876
876,236,104,23,0,877
877,183,164,23,0,878
878,164,183,23,0,879
879,183,46,23,0,880
880,168,183,23,0,881
881,183,168,23,0,882
882,234,43,23,0,883
883,43,240,23,0,884
884,181,46,23,0,885
885,181,81,23,0,886
886,181,17,23,0,887
887,240,43,23,0,888
888,164,239,23,0,889
889,239,164,23,0,890
890,168,22,23,0,891
891,22,168,23,0,892
892,241,242,23,0,893
893,168,243,23,0,894
894,203,235,23,0,895
895,243,168,23,0,896
896,244,245,23,0,897
897,7,201,23,0,898
898,7,246,23,0,899
899,164,247,23,0,900
900,247,164,23,0,901
901,217,248,23,0,902
902,248,217,23,0,903
903,164,249,23,0,904
904,249,164,23,0,905
905,218,226,23,0,906
906,218,203,23,0,907
907,218,76,23,0,908
908,218,43,23,0,909
909,164,98,23,0,910
910,98,164,23,0,911
911,29,181,23,0,912
912,181,29,23,0,913
913,251,177,23,0,914
914,177,251,23,0,915
915,245,244,23,0,916
916,206,252,23,0,917
917,252,206,23,0,918
918,253,164,23,0,919
919,179,112,23,0,920
920,112,179,23,0,921
921,186,218,23,0,922
922,186,43,23,0,923
923,186,107,23,0,924
924,107,186,23,0,925
925,186,133,23,0,926
926,133,186,23,0,927
927,99,254,23,0,928
928,17,43,23,0,929
929,161,76,23,0,930
930,7,255,23,0,931
931,255,7,23,0,932
932,254,166,23,0,933
933,166,254,23,0,934
934,192,21,23,0,935
935,235,256,23,0,936
936,256,235,23,0,937
937,164,253,23,0,938
938,210,46,23,0,939
939,191,74,23,0,940
940,1,257,23,0,941
941,46,210,23,0,942
942,190,258,23,0,943
943,258,190,23,0,944
944,4,243,23,0,945
945,243,4,23,0,946
946,259,260,23,0,947
947,260,259,23,0,948
948,218,22,23,0,949
949,232,164,23,0,950
950,164,232,23,0,951
951,233,7,23,0,952
952,7,233,23,0,953
953,29,262,23,0,954
954,262,29,23,0,955
955,43,260,23,0,956
956,260,43,23,0,957
957,22,263,23,0,958
958,99,264,23,0,959
959,264,99,23,0,960
960,46,262,23,0,961
961,262,46,23,0,962
962,176,43,23,0,963
963,22,265,23,0,964
964,265,22,23,0,965
965,7,215,23,0,966
966,215,7,23,0,967
967,14,215,23,0,968
968,7,99,23,0,969
969,245,17,23,0,970
970,243,266,23,0,971
971,266,243,23,0,972
972,243,267,23,0,973
973,267,243,23,0,974
974,43,190,23,0,975
975,190,43,23,0,976
976,107,243,23,0,977
977,243,107,23,0,978
978,168,268,23,0,979
979,30,269,23,0,980
980,268,168,23,0,981
981,1,142,23,0,982
982,142,1,23,0,983
983,196,16,23,0,984
984,22,160,23,0,985
985,160,22,23,0,986
986,160,43,23,0,987
987,22,235,23,0,988
988,241,22,23,0,989
989,235,22,23,0,990
990,22,241,23,0,991
991,164,168,23,0,992
992,168,164,23,0,993
993,235,166,23,0,994
994,166,235,23,0,995
995,166,148,23,0,996
996,148,166,23,0,997
997,7,227,23,0,998
998,43,185,23,0,999
999,218,240,23,0,1000
1000,12,129,23,0,1001
1001,129,12,23,0,1002
1002,133,270,23,0,1003
1003,270,133,23,0,1004
1004,271,243,23,0,1005
1005,218,235,23,0,1006
1006,21,192,23,0,1007
1007,164,166,23,0,1008
1008,166,164,23,0,1009
1009,17,269,23,0,1010
1010,1,272,23,0,1011
1011,272,1,23,0,1012
1012,1,273,23,0,1013
1013,273,1,23,0,1014
1014,43,273,23,0,1015
1015,273,43,23,0,1016
1016,168,234,24,0,1017
1017,234,168,24,0,1018
1018,265,67,24,0,1019
1019,67,265,24,0,1020
1020,67,45,24,0,1021
1021,273,183,24,0,1022
1022,17,67,24,0,1023
1023,67,17,24,0,1024
1024,7,275,24,0,1025
1025,218,275,24,0,1026
1026,7,210,24,0,1027
1027,275,218,24,0,1028
1028,235,80,24,0,1029
1029,215,14,24,0,1030
1030,31,194,24,0,1031
1031,33,274,24,0,1032
1032,33,276,24,0,1033
1033,43,164,24,0,1034
1034,46,277,24,0,1035
1035,277,46,24,0,1036
1036,277,235,24,0,1037
1037,46,278,24,0,1038
1038,278,46,24,0,1039
1039,33,279,24,0,1040
1040,279,33,24,0,1041
1041,280,245,24,0,1042
1042,56,82,24,0,1043
1043,218,236,24,0,1044
1044,273,45,24,0,1045
1045,45,273,24,0,1046
1046,274,33,24,0,1047
1047,245,280,24,0,1048
1048,281,43,24,0,1049
1049,201,7,24,0,1050
1050,176,183,24,0,1051
1051,183,176,24,0,1052
1052,80,7,24,0,1053
1053,7,80,24,0,1054
1054,164,283,24,0,1055
1055,283,164,24,0,1056
1056,275,7,24,0,1057
1057,210,284,24,0,1058
1058,284,210,24,0,1059
1059,177,285,24,0,1060
1060,7,181,24,0,1061
1061,181,7,24,0,1062
1062,7,189,24,0,1063
1063,189,7,24,0,1064
1064,285,177,24,0,1065
1065,45,265,24,0,1066
1066,265,45,24,0,1067
1067,45,286,24,0,1068
1068,45,164,24,0,1069
1069,164,45,24,0,1070
1070,7,287,24,0,1071
1071,287,7,24,0,1072
1072,45,246,24,0,1073
1073,246,45,24,0,1074
1074,42,7,24,0,1075
1075,282,235,24,0,1076
1076,235,282,24,0,1077
1077,235,288,24,0,1078
1078,288,235,24,0,1079
1079,22,289,24,0,1080
1080,289,22,24,0,1081
1081,283,290,24,0,1082
1082,290,283,24,0,1083
1083,161,181,24,0,1084
1084,274,99,24,0,1085
1085,282,164,24,0,1086
1086,164,282,24,0,1087
1087,200,21,24,0,1088
1088,7,257,24,0,1089
1089,218,295,24,0,1090
1090,218,299,24,0,1091
1091,282,306,24,0,1092
1092,306,282,24,0,1093
1093,306,307,24,0,1094
1094,164,250,24,0,1095
1095,250,164,24,0,1096
1096,22,308,24,0,1097
1097,22,148,24,0,1098
1098,148,22,24,0,1099
1099,257,7,24,0,1100
1100,269,30,24,0,1101
1101,269,17,24,0,1102
1102,269,1,24,0,1103
1103,176,164,24,0,1104
1104,164,176,24,0,1105
1105,74,276,24,0,1106
1106,218,229,24,0,1107
1107,210,310,24,0,1108
1108,310,210,24,0,1109
1109,218,244,24,0,1110
1110,301,43,24,0,1111
1111,218,297,24,0,1112
1112,27,212,24,0,1113
1113,212,27,24,0,1114
1114,200,181,24,0,1115
1115,181,200,24,0,1116
1116,227,311,24,0,1117
1117,311,227,24,0,1118
1118,7,4,24,0,1119
1119,43,301,24,0,1120
1120,43,17,24,0,1121
1121,285,166,24,0,1122
1122,307,306,24,0,1123
1123,282,177,24,0,1124
1124,177,282,24,0,1125
1125,45,254,24,0,1126
1126,254,45,24,0,1127
1127,164,7,24,0,1128
1128,164,212,24,0,1129
1129,313,4,24,0,1130
1130,7,164,24,0,1131
1131,314,107,24,0,1132
1132,107,314,24,0,1133
1133,7,315,24,0,1134
1134,315,7,24,0,1135
1135,46,314,24,0,1136
1136,104,246,24,0,1137
1137,311,314,24,0,1138
1138,314,311,24,0,1139
1139,99,316,24,0,1140
